X_id,Year,BranchCode,Sessions
1,2018,AB,111939
2,2018,ACD,82784
3,2018,AD,12162
4,2018,AG,112149
5,2018,AH,9753
6,2018,AN,21239
7,2018,AP,13010
8,2018,BB,16333
9,2018,BC,24989
10,2018,BD,14323
11,2018,BE,31292
12,2018,BF,76409
13,2018,BL,128177
14,2018,BR,57702
15,2018,BRW,51202
16,2018,BUR,16232
17,2018,CC,14475
18,2018,CE,26974
19,2018,CED,133544
20,2018,CH,50205
21,2018,CL,121507
22,2018,CS,21914
23,2018,DA,40326
24,2018,DM,61911
25,2018,DO,72517
26,2018,DP,65983
27,2018,DR,30300
28,2018,DT,4008
29,2018,DU,42709
30,2018,EA,41801
31,2018,EB,5700
32,2018,EG,13481
33,2018,EN,26289
34,2018,ES,55733
35,2018,FH,14583
36,2018,FO,37264
37,2018,FP,29894
38,2018,FV,130320
39,2018,GE,16717
40,2018,GHP,30554
41,2018,GW,9772
42,2018,HB,6015
43,2018,HC,16657
44,2018,HIL,16987
45,2018,HP,32396
46,2018,HS,10281
47,2018,HW,10942
48,2018,JD,43864
49,2018,JO,18622
50,2018,JS,23749
51,2018,KE,29139
52,2018,LB,14458
53,2018,LE,20752
54,2018,LO,40048
55,2018,LS,108743
56,2018,MA,26001
57,2018,MAL,83951
58,2018,MAS,81688
59,2018,MCG,30641
60,2018,MD,36451
61,2018,MI,15725
62,2018,MP,6809
63,2018,MRV,34992
64,2018,MS,30116
65,2018,ND,104897
66,2018,NE,13858
67,2018,NT,15193
68,2018,OV,21743
69,2018,PA,60571
70,2018,PE,5775
71,2018,PK,103625
72,2018,PL,62072
73,2018,PM,23629
74,2018,PU,10086
75,2018,PV,13400
76,2018,QS,13869
77,2018,RD,45729
78,2018,RI,71177
79,2018,RN,68987
80,2018,RX,11519
81,2018,SA,52512
82,2018,SB,631
83,2018,SC,45256
84,2018,SJ,51621
85,2018,SL,24264
86,2018,SP,15469
87,2018,ST,14624
88,2018,SW,1443
89,2018,SWS,64722
90,2018,TA,8594
91,2018,TH,50333
92,2018,TOD,3450
93,2018,TRL,428446
94,2018,VV,9463
95,2018,WE,26060
96,2018,WP,13555
97,2018,WS,75752
98,2018,WY,16140
99,2018,YO,22390
100,2018,YW,93349
101,2019,AB,105936
102,2019,ACD,54592
103,2019,AD,10518
104,2019,AG,110006
105,2019,AH,9414
106,2019,AN,20898
107,2019,AP,13549
108,2019,BB,16706
109,2019,BC,25777
110,2019,BD,13281
111,2019,BE,26353
112,2019,BF,66397
113,2019,BL,119884
114,2019,BR,51475
115,2019,BRW,47541
116,2019,BUR,17393
117,2019,CC,14182
118,2019,CE,21971
119,2019,CED,124808
120,2019,CH,47505
121,2019,CL,227153
122,2019,CS,21432
123,2019,DA,36170
124,2019,DM,46052
125,2019,DO,43740
126,2019,DP,61486
127,2019,DR,29528
128,2019,DT,4311
129,2019,DU,40379
130,2019,EA,38638
131,2019,EB,5383
132,2019,EG,12828
133,2019,EN,20341
134,2019,ES,55205
135,2019,FH,17319
136,2019,FO,38890
137,2019,FP,29562
138,2019,FV,132363
139,2019,GE,16283
140,2019,GHP,28864
141,2019,GW,3327
142,2019,HB,6809
143,2019,HC,15568
144,2019,HIL,15515
145,2019,HP,33287
146,2019,HS,11207
147,2019,HW,10952
148,2019,JD,41567
149,2019,JO,14749
150,2019,JS,25099
151,2019,KE,27027
152,2019,LB,13628
153,2019,LE,21315
154,2019,LO,36896
155,2019,LS,91815
156,2019,MA,23379
157,2019,MAL,79554
158,2019,MAS,79476
159,2019,MCG,29609
160,2019,MD,31430
161,2019,MI,12713
162,2019,MP,5368
163,2019,MRV,32754
164,2019,MS,29277
165,2019,ND,92396
166,2019,NE,12233
167,2019,NT,13824
168,2019,OV,19498
169,2019,PA,49103
170,2019,PE,5480
171,2019,PK,53495
172,2019,PL,28959
173,2019,PM,21569
174,2019,PU,8556
175,2019,PV,13878
176,2019,QS,10704
177,2019,RD,44200
