_id,Term,FirstName,LastName,Committee,MTGNum,SessionDate,SessionType,SessionStart_EndTime,Present
613125,2018-2022,Paul,Ainslie,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613126,2018-2022,Ana,Bailão,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613127,2018-2022,Brad,Bradford,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613128,2018-2022,Shelley,Carroll,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613129,2018-2022,Mike,Colle,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613130,2018-2022,Gary,Crawford,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613131,2018-2022,Joe,Cressy,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613132,2018-2022,John,Filion,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613133,2018-2022,Paula,Fletcher,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613134,2018-2022,Michael,Ford,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613135,2018-2022,Mark,Grimes,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613136,2018-2022,Stephen,Holyday,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613137,2018-2022,Jim,Karygiannis,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613138,2018-2022,Cynthia,Lai,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613139,2018-2022,Mike,Layton,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613140,2018-2022,Josh,Matlow,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613141,2018-2022,Jennifer,McKelvie,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613142,2018-2022,Denzil,Minnan-Wong,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613143,2018-2022,Frances,Nunziata,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613144,2018-2022,James,Pasternak,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613145,2018-2022,Gord,Perks,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613146,2018-2022,Anthony,Perruzza,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613147,2018-2022,Jaye,Robinson,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613148,2018-2022,Michael,Thompson,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613149,2018-2022,John,Tory,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613150,2018-2022,Kristyn,Wong-Tam,City Council,1,2018-12-04,Afternoon,14:00PM - 15:15PM,Y
613151,2018-2022,Paul,Ainslie,City Council,1,2018-12-05,Morning,09:37AM - 12:09PM,Y
613152,2018-2022,Ana,Bailão,City Council,1,2018-12-05,Morning,09:37AM - 12:09PM,Y
613153,2018-2022,Brad,Bradford,City Council,1,2018-12-05,Morning,09:37AM - 12:09PM,Y
613154,2018-2022,Shelley,Carroll,City Council,1,2018-12-05,Morning,09:37AM - 12:09PM,Y
613155,2018-2022,Mike,Colle,City Council,1,2018-12-05,Morning,09:37AM - 12:09PM,Y
613156,2018-2022,Gary,Crawford,City Council,1,2018-12-05,Morning,09:37AM - 12:09PM,Y
613157,2018-2022,Joe,Cressy,City Council,1,2018-12-05,Morning,09:37AM - 12:09PM,Y
613158,2018-2022,John,Filion,City Council,1,2018-12-05,Morning,09:37AM - 12:09PM,Y
613159,2018-2022,Paula,Fletcher,City Council,1,2018-12-05,Morning,09:37AM - 12:09PM,Y
613160,2018-2022,Michael,Ford,City Council,1,2018-12-05,Morning,09:37AM - 12:09PM,Y
613161,2018-2022,Mark,Grimes,City Council,1,2018-12-05,Morning,09:37AM - 12:09PM,Y
613162,2018-2022,Stephen,Holyday,City Council,1,2018-12-05,Morning,09:37AM - 12:09PM,Y
613163,2018-2022,Jim,Karygiannis,City Council,1,2018-12-05,Morning,09:37AM - 12:09PM,Y
613164,2018-2022,Cynthia,Lai,City Council,1,2018-12-05,Morning,09:37AM - 12:09PM,Y
613165,2018-2022,Mike,Layton,City Council,1,2018-12-05,Morning,09:37AM - 12:09PM,Y
